Area Code	Year Code	Years considered	Unit	Value
73	2015	"""2014,2015,2016"""	millions	0.2
73	2016	"""2015,2016,2017"""	millions	0.2
73	2017	"""2016,2017,2018"""	millions	0.3
73	2018	"""2017,2018,2019"""	millions	0.3
81	2014	"""2013,2014,2015"""	millions	2.1
81	2015	"""2014,2015,2016"""	millions	2.1
81	2016	"""2015,2016,2017"""	millions	2.1
81	2017	"""2016,2017,2018"""	millions	2.0
81	2018	"""2017,2018,2019"""	millions	1.9
89	2014	"""2013,2014,2015"""	millions	2.8
89	2015	"""2014,2015,2016"""	millions	2.8
89	2016	"""2015,2016,2017"""	millions	2.7
89	2017	"""2016,2017,2018"""	millions	2.7
89	2018	"""2017,2018,2019"""	millions	2.8
91	2014	"""2013,2014,2015"""	millions	0.1
91	2015	"""2014,2015,2016"""	millions	0.1
91	2016	"""2015,2016,2017"""	millions	0.1
91	2017	"""2016,2017,2018"""	millions	0.1
91	2018	"""2017,2018,2019"""	millions	0.1
93	2014	"""2013,2014,2015"""	millions	5.1
93	2015	"""2014,2015,2016"""	millions	5.1
93	2016	"""2015,2016,2017"""	millions	5.2
93	2017	"""2016,2017,2018"""	millions	5.3
93	2018	"""2017,2018,2019"""	millions	5.4
95	2014	"""2013,2014,2015"""	millions	1.5
95	2015	"""2014,2015,2016"""	millions	1.4
95	2016	"""2015,2016,2017"""	millions	1.3
95	2017	"""2016,2017,2018"""	millions	1.3
95	2018	"""2017,2018,2019"""	millions	1.3
100	2014	"""2013,2014,2015"""	millions	198.3
100	2015	"""2014,2015,2016"""	millions	193.1
100	2016	"""2015,2016,2017"""	millions	190.9
100	2017	"""2016,2017,2018"""	millions	190.1
100	2018	"""2017,2018,2019"""	millions	189.2
101	2014	"""2013,2014,2015"""	millions	23.6
101	2015	"""2014,2015,2016"""	millions	24.0
101	2016	"""2015,2016,2017"""	millions	24.0
101	2017	"""2016,2017,2018"""	millions	23.6
101	2018	"""2017,2018,2019"""	millions	24.1
102	2014	"""2013,2014,2015"""	millions	3.7
102	2015	"""2014,2015,2016"""	millions	3.9
102	2016	"""2015,2016,2017"""	millions	3.9
102	2017	"""2016,2017,2018"""	millions	3.9
102	2018	"""2017,2018,2019"""	millions	3.9
103	2014	"""2013,2014,2015"""	millions	7.8
103	2015	"""2014,2015,2016"""	millions	8.4
103	2016	"""2015,2016,2017"""	millions	8.8
103	2017	"""2016,2017,2018"""	millions	9.0
103	2018	"""2017,2018,2019"""	millions	9.1
109	2014	"""2013,2014,2015"""	millions	0.3
109	2015	"""2014,2015,2016"""	millions	0.3
109	2016	"""2015,2016,2017"""	millions	0.3
109	2017	"""2016,2017,2018"""	millions	0.3
109	2018	"""2017,2018,2019"""	millions	0.3
112	2014	"""2013,2014,2015"""	millions	0.8
112	2015	"""2014,2015,2016"""	millions	0.8
112	2016	"""2015,2016,2017"""	millions	0.8
112	2017	"""2016,2017,2018"""	millions	0.8
112	2018	"""2017,2018,2019"""	millions	0.9
114	2014	"""2013,2014,2015"""	millions	10.0
114	2015	"""2014,2015,2016"""	millions	10.7
114	2016	"""2015,2016,2017"""	millions	11.5
114	2017	"""2016,2017,2018"""	millions	11.9
114	2018	"""2017,2018,2019"""	millions	11.8
83	2014	"""2013,2014,2015"""	millions	0.1
83	2015	"""2014,2015,2016"""	millions	0.1
83	2016	"""2015,2016,2017"""	millions	0.1
83	2017	"""2016,2017,2018"""	millions	0.1
83	2018	"""2017,2018,2019"""	millions	0.1
113	2014	"""2013,2014,2015"""	millions	0.4
113	2015	"""2014,2015,2016"""	millions	0.4
113	2016	"""2015,2016,2017"""	millions	0.4
113	2017	"""2016,2017,2018"""	millions	0.4
113	2018	"""2017,2018,2019"""	millions	0.4
121	2014	"""2013,2014,2015"""	millions	0.6
121	2015	"""2014,2015,2016"""	millions	0.4
121	2016	"""2015,2016,2017"""	millions	0.4
121	2017	"""2016,2017,2018"""	millions	0.4
121	2018	"""2017,2018,2019"""	millions	0.4
122	2014	"""2013,2014,2015"""	millions	0.5
122	2015	"""2014,2015,2016"""	millions	0.8
122	2016	"""2015,2016,2017"""	millions	0.8
122	2017	"""2016,2017,2018"""	millions	0.8
122	2018	"""2017,2018,2019"""	millions	0.7
123	2014	"""2013,2014,2015"""	millions	1.6
123	2015	"""2014,2015,2016"""	millions	1.7
123	2016	"""2015,2016,2017"""	millions	1.8
123	2017	"""2016,2017,2018"""	millions	1.8
123	2018	"""2017,2018,2019"""	millions	1.8
129	2014	"""2013,2014,2015"""	millions	8.7
129	2015	"""2014,2015,2016"""	millions	9.7
129	2016	"""2015,2016,2017"""	millions	10.3
129	2017	"""2016,2017,2018"""	millions	10.5
129	2018	"""2017,2018,2019"""	millions	11.0
130	2014	"""2013,2014,2015"""	millions	2.7
130	2015	"""2014,2015,2016"""	millions	2.9
130	2016	"""2015,2016,2017"""	millions	2.9
130	2017	"""2016,2017,2018"""	millions	3.3
130	2018	"""2017,2018,2019"""	millions	3.4
131	2014	"""2013,2014,2015"""	millions	1.1
131	2015	"""2014,2015,2016"""	millions	1.2
131	2016	"""2015,2016,2017"""	millions	1.1
131	2017	"""2016,2017,2018"""	millions	1.0
131	2018	"""2017,2018,2019"""	millions	0.9
133	2014	"""2013,2014,2015"""	millions	1.0
133	2015	"""2014,2015,2016"""	millions	0.9
133	2016	"""2015,2016,2017"""	millions	0.9
133	2017	"""2016,2017,2018"""	millions	1.0
133	2018	"""2017,2018,2019"""	millions	1.0
136	2014	"""2013,2014,2015"""	millions	0.3
136	2015	"""2014,2015,2016"""	millions	0.4
136	2016	"""2015,2016,2017"""	millions	0.5
136	2017	"""2016,2017,2018"""	millions	0.5
136	2018	"""2017,2018,2019"""	millions	0.5
137	2014	"""2013,2014,2015"""	millions	0.1
137	2015	"""2014,2015,2016"""	millions	0.1
137	2016	"""2015,2016,2017"""	millions	0.1
137	2017	"""2016,2017,2018"""	millions	0.1
137	2018	"""2017,2018,2019"""	millions	0.1
138	2014	"""2013,2014,2015"""	millions	5.5
138	2015	"""2014,2015,2016"""	millions	6.8
138	2016	"""2015,2016,2017"""	millions	7.9
138	2017	"""2016,2017,2018"""	millions	8.4
138	2018	"""2017,2018,2019"""	millions	9.0
141	2014	"""2013,2014,2015"""	millions	0.6
141	2015	"""2014,2015,2016"""	millions	0.6
141	2016	"""2015,2016,2017"""	millions	0.6
141	2017	"""2016,2017,2018"""	millions	0.6
141	2018	"""2017,2018,2019"""	millions	0.7
143	2014	"""2013,2014,2015"""	millions	1.4
143	2015	"""2014,2015,2016"""	millions	1.3
